transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,ttc_summer,ttc_winter,network_node_name_starting,network_node_code_starting,network_node_name_ending,network_node_code_ending,notes
36263,L1164,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,13.125,8.102,37.800,23.333,120,15.90,107,118,Arthabaska,QC_ART_DSS,Bois-Francs,QC_BSF_DSS,NULL
36264,L1164,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,37.800,23.333,120,15.90,107,118,Rosiers,QC_RSR_DSS,Kingsey,QC_KSY_TSS,Line name assumed
36265,L1165,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,3.192,1.970,3.192,1.970,120,1.34,107,118,Aqueduc,QC_AQD_TSS,Hadley,QC_HAD_DSS,NULL
36266,L1166,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,3.192,1.970,3.192,1.970,120,1.34,107,118,Aqueduc,QC_AQD_TSS,Hadley,QC_HAD_DSS,NULL
36267,L1167,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,18.375,11.343,120,7.73,107,118,Lambton,QC_LAM_DSS,Saint-Ãƒâ€°variste,QC_SEV_DSS,NULL
36268,L1168,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,42.000,25.926,99.750,61.574,120,41.97,100,110,MÃƒÂ©gantic,QC_MEG_DSS,Lambton,QC_LAM_DSS,NULL
36269,L1168,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,57.750,35.648,99.750,61.574,120,41.97,100,110,Weedon,QC_WDN_DSS,MÃƒÂ©gantic,QC_MEG_DSS,NULL
36270,L1169,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,18.375,11.343,120,7.73,107,118,Cleveland,QC_CLV_DSS,Cowansville,QC_COW_DSS,NULL
36271,L1171,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,20.475,12.639,120,8.61,107,118,Domtar Windsor,QC_DOM_ISS,Des Cantons,QC_DEC_TSS,NULL
36272,L1171,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,20.475,12.639,120,8.61,107,118,Windsor,QC_WND_DSS,Domtar Windsor,QC_DOM_ISS,NULL
36273,L1171,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,5.250,3.241,20.475,12.639,120,8.61,107,118,Bromptonville,QC_BRO_DSS,Kruger Inc Bromptonville,QC_KRB_ISS,NULL
36274,L1171,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,13.125,8.102,20.475,12.639,120,8.61,107,118,Kruger Inc Bromptonville,QC_KRB_ISS,Windsor,QC_WND_DSS,NULL
36275,L1173,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,22.800,14.074,22.800,14.074,120,9.59,107,118,Wyman,QC_WYM_DSS,Cadieux,QC_CDX_DSS,NULL
36276,L1174,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,20.475,12.639,120,8.61,107,118,Domtar Windsor,QC_DOM_ISS,Des Cantons,QC_DEC_TSS,NULL
36277,L1174,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,20.475,12.639,120,8.61,107,118,Windsor,QC_WND_DSS,Domtar Windsor,QC_DOM_ISS,NULL
36278,L1174,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,5.250,3.241,20.475,12.639,120,8.61,107,118,Bromptonville,QC_BRO_DSS,Kruger Inc Bromptonville,QC_KRB_ISS,NULL
36279,L1174,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,13.125,8.102,20.475,12.639,120,8.61,107,118,Kruger Inc Bromptonville,QC_KRB_ISS,Windsor,QC_WND_DSS,NULL
